公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
1256 鮮活果汁-KY,2019/9/27,"1,994,294",8.72,"6,379,217",12C
1301 台塑,2019/9/27,"350,650,005",14.21,"601,562,430",13A
1303 南亞,2019/9/27,"357,527,989",20.2,"552,778,224",13A
1304 台聚,2019/9/27,"39,024,604",7.7,"15,335,043",13A
1305 華夏,2019/9/27,"8,446,249",16.3,"10,461,526",13A
1307 三芳,2019/9/27,"8,404,972",15.36,"9,666,977",13A
1308 亞聚,2019/9/27,"9,972,663",12.54,"8,288,011",13A
1309 台達化,2019/9/27,"4,213,848",16.33,"3,709,664",13A
1310 台苯,2019/9/27,"7,376,126",9.79,"11,481,151",13A
1312 國喬,2019/9/27,"26,932,051",6.05,"16,409,822",13A
1313 聯成,2019/9/27,"20,484,657",,"14,122,878",13A
1314 中石化,2019/9/27,"66,826,036",20.17,"28,320,152",13A
1315 達新,2019/9/27,"8,081,244",23.73,"6,276,600",13A
1316 上曜,2019/9/27,"2,441,892",,"2,345,933",25A
1319 東陽,2019/9/27,"22,227,285",11.6,"27,740,271",15D
1321 大洋,2019/9/27,"5,039,809",248.39,"6,669,142",13A
1323 永裕,2019/9/27,"2,307,357",6.74,"3,085,061",13A
1324 地球,2019/9/27,"969,782",933.32,"739,191",13A
1325 恒大,2019/9/27,"1,760,833",25.59,"1,321,856",14F
1326 台化,2019/9/27,"411,505,607",13.54,"508,164,826",13A
1337 再生-KY,2019/9/27,"7,169,547",,"1,589,518",13B
1338 廣華-KY,2019/9/27,"6,588,176",10.31,"5,457,984",15D
1339 昭輝,2019/9/27,"3,584,767",5.17,"3,158,279",15D
1340 勝悅-KY,2019/9/27,"6,138,437",,"2,530,859",13B
1341 富林-KY,2019/9/27,"1,185,935",8.41,"2,949,180",13A
1342 八貫,2019/9/27,"904,727",,,13B
1402 遠東新,2019/9/27,"266,988,228",8.96,"153,359,869",14A
1409 新纖,2019/9/27,"37,671,932",6.03,"18,449,863",14A
1410 南染,2019/9/27,"1,125,408",19.74,"1,879,200",14E
1413 宏洲,2019/9/27,"1,215,845",11.07,"1,367,359",14A
1414 東和,2019/9/27,"3,019,181",,"1,529,000",14B
1416 廣豐,2019/9/27,"3,996,454",,"2,585,521",14B
1417 嘉裕,2019/9/27,"3,531,880",,"2,540,742",14C
1418 東華,2019/9/27,"693,563",,"386,471",14B
1419 新紡,2019/9/27,"8,624,476",35.51,"12,346,687",14C
1423 利華,2019/9/27,"2,353,788",,"1,460,120",14D
1432 大魯閣,2019/9/27,"1,555,554",,"1,199,070",29A
1434 福懋,2019/9/27,"69,491,191",11.69,"56,941,643",14C
1435 中福,2019/9/27,"888,816",,"819,111",23E
1436 華友聯,2019/9/27,"2,490,208",19.48,"3,476,296",25A
1437 勤益控,2019/9/27,"6,465,081",14.29,"4,565,679",25F
1438 三地開發,2019/9/27,"515,583",,"1,290,379",25A
1439 中和,2019/9/27,"2,759,597",,"2,695,600",14D
1440 南紡,2019/9/27,"24,763,281",,"18,639,169",14A
1441 大東,2019/9/27,"1,341,424",,"943,488",14B
1442 名軒,2019/9/27,"5,057,385",,"4,789,391",25A
1443 立益,2019/9/27,"814,953",,"1,292,526",14B
1444 力麗,2019/9/27,"11,698,423",23.58,"8,807,178",14A
1445 大宇,2019/9/27,"1,696,296",,"937,956",14C
1446 宏和,2019/9/27,"1,545,354",,"4,255,208",14C
1447 力鵬,2019/9/27,"10,369,208",,"6,392,264",14A
1449 佳和,2019/9/27,"837,309",,"552,000",14C
1451 年興,2019/9/27,"7,243,650",38.4,"4,514,400",14C
1452 宏益,2019/9/27,"2,455,233",11.14,"2,394,170",14A
1453 大將,2019/9/27,"1,322,107",,"782,231",25A
1454 台富,2019/9/27,"1,526,635",33.58,"1,069,100",14C
1455 集盛,2019/9/27,"7,415,582",,"5,255,044",14A
1456 怡華,2019/9/27,"1,151,513",23.76,"801,306",14C
1457 宜進,2019/9/27,"7,456,444",6.85,"4,207,976",14A
1459 聯發,2019/9/27,"3,039,311",,"2,488,878",14A
1460 宏遠,2019/9/27,"5,159,453",43.36,"5,149,323",14C
1463 強盛,2019/9/27,"2,288,938",13.28,"2,304,464",14E
1464 得力,2019/9/27,"6,272,856",15.85,"9,133,419",14C
1465 偉全,2019/9/27,"2,265,686",,"1,507,482",14C
1466 聚隆,2019/9/27,"1,631,079",,"868,136",14A
1467 南緯,2019/9/27,"2,467,199",,"1,988,140",14C
1468 昶和,2019/9/27,"1,128,233",34.08,"1,599,238",14C
1470 大統新創,2019/9/27,"968,182",19.04,"1,818,260",14E
1471 首利,2019/9/27,"703,422",,"526,449",23D
1472 三洋紡,2019/9/27,"497,862",13.59,"1,505,802",14A
1473 台南,2019/9/27,"3,904,944",18.67,"3,848,051",14C
1474 弘裕,2019/9/27,"1,856,414",22.59,"1,150,879",14C
1475 業旺,2019/9/27,"22,477",,"89,690",14C
1476 儒鴻,2019/9/27,"17,114,630",20.43,"114,136,672",14C
1477 聚陽,2019/9/27,"8,899,808",14.83,"36,166,312",14C
1503 士電,2019/9/27,"24,214,648",10.96,"23,938,663",15B
1504 東元,2019/9/27,"60,523,660",10.81,"49,192,300",15B
1506 正道,2019/9/27,"1,054,977",,"1,855,111",15D
1507 永大,2019/9/27,"11,316,641",29.35,"26,004,906",15B
1512 瑞利,2019/9/27,"626,165",,"1,104,410",15D
1513 中興電,2019/9/27,"7,647,106",11.24,"8,484,000",15B
1514 亞力,2019/9/27,"2,970,888",10.22,"3,499,973",15B
1515 力山,2019/9/27,"3,241,424",17.54,"16,151,097",15A
1516 川飛,2019/9/27,"376,442",76.65,"530,265",99Z
1517 利奇,2019/9/27,"3,242,728",,"2,093,712",15E
1519 華城,2019/9/27,"3,168,548",17.44,"6,748,349",15B
1521 大億,2019/9/27,"1,862,596",11.27,"5,015,934",15D
1522 堤維西,2019/9/27,"6,803,613",10.83,"9,793,676",15D
1524 耿鼎,2019/9/27,"2,315,911",8.16,"1,787,866",15D
1525 江申,2019/9/27,"4,061,204",8.51,"4,125,080",15D
1526 日馳,2019/9/27,"979,963",13.43,"1,659,000",15E
1527 鑽全,2019/9/27,"3,959,635",6.06,"6,789,930",15A
1528 恩德,2019/9/27,"2,480,384",,"1,801,952",15A
1529 樂士,2019/9/27,"1,022,835",54.24,"1,636,237",15B
1530 亞崴,2019/9/27,"3,050,334",10.86,"2,738,440",15A
1531 高林股,2019/9/27,"3,706,447",21.74,"2,765,870",15A
1532 勤美,2019/9/27,"15,718,401",7.97,"11,730,923",15A
1533 車王電,2019/9/27,"2,731,457",16.37,"3,695,513",15D
1535 中宇,2019/9/27,"2,954,472",26.11,"4,207,228",15B
1536 和大,2019/9/27,"6,532,493",31.17,"29,192,462",15D
1537 廣隆,2019/9/27,"3,897,174",8.96,"11,858,825",23D
1538 正峰,2019/9/27,"235,914",,"214,997",15A
1539 巨庭,2019/9/27,"1,335,380",9.08,"1,310,669",15A
1540 喬福,2019/9/27,"1,468,929",7.23,"1,688,092",15A
1541 錩泰,2019/9/27,"1,232,264",12.36,"2,758,000",15A
1558 伸興,2019/9/27,"4,736,458",8.07,"8,020,888",15A
1560 中砂,2019/9/27,"4,471,174",12.07,"8,615,100",15A
1568 倉佑,2019/9/27,"1,544,492","3,112.03","2,144,189",15D
1582 信錦,2019/9/27,"5,378,966",6.81,"9,502,003",23D
1583 程泰,2019/9/27,"5,914,428",9.32,"5,784,960",15A
1587 吉茂,2019/9/27,"1,197,765",23.21,"1,171,994",15D
1589 永冠-KY,2019/9/27,"7,866,017",,"5,724,441",15A
1590 亞德客-KY,2019/9/27,"17,515,796",19.51,"69,844,368",15A
1592 英瑞-KY,2019/9/27,"2,588,318",,"2,119,680",15D
1597 直得,2019/9/27,"1,989,433",21.89,"6,990,201",15A
1598 岱宇,2019/9/27,"2,169,857",11.53,"3,887,245",17G
1603 華電,2019/9/27,"4,987,652",19.8,"3,948,773",16
1604 聲寶,2019/9/27,"6,865,969",16.95,"7,066,400",15C
1605 華新,2019/9/27,"76,699,483",11.97,"48,227,000",16
1608 華榮,2019/9/27,"7,380,211",171.38,"6,175,864",16
1609 大亞,2019/9/27,"8,214,812",19.02,"6,277,967",16
1611 中電,2019/9/27,"4,503,320",33.56,"3,570,013",15C
1612 宏泰,2019/9/27,"4,579,672",27.86,"3,382,056",16
1614 三洋電,2019/9/27,"5,153,967",32.64,"7,790,821",15C
1615 大山,2019/9/27,"1,681,996",8.04,"1,845,707",16
1616 億泰,2019/9/27,"1,575,091",,"920,262",16
1617 榮星,2019/9/27,"1,670,595",12.34,"1,745,219",16
1618 合機,2019/9/27,"4,008,703",,"1,982,311",16
1626 艾美特-KY,2019/9/27,"2,719,684",7.54,"3,710,949",15C
1701 中化,2019/9/27,"5,847,313",12.74,"5,589,019",17C
1702 南僑,2019/9/27,"6,160,347",9.03,"14,794,840",12B
1707 葡萄王,2019/9/27,"6,857,352",10.4,"25,212,910",17C
1708 東鹼,2019/9/27,"5,945,923",20.64,"5,457,216",17Z
1709 和益,2019/9/27,"7,185,928",34.1,"6,527,586",17E
1710 東聯,2019/9/27,"17,016,850",93.4,"19,529,751",13A
1711 永光,2019/9/27,"8,148,083",18.2,"8,928,358",17B
1712 興農,2019/9/27,"6,922,705",9.49,"7,800,127",17C
1713 國化,2019/9/27,"2,270,983",33.73,"2,724,666",17B
1714 和桐,2019/9/27,"14,098,622",9.45,"7,178,777",17E
1717 長興,2019/9/27,"21,815,576",15.2,"31,441,073",17F
1718 中纖,2019/9/27,"59,958,190",4.3,"13,214,141",13A
1720 生達,2019/9/27,"4,294,569",9.63,"5,745,076",17C
1721 三晃,2019/9/27,"2,279,584",141.56,"1,969,994",17F
1722 台肥,2019/9/27,"50,338,453",18.8,"44,590,000",17C
1723 中碳,2019/9/27,"7,229,591",15.92,"29,731,452",17Z
1724 台硝,2019/9/27,"1,980,790",12.4,"1,642,397",17Z
1725 元禎,2019/9/27,"3,415,914",11.32,"2,636,521",17Z
1726 永記,2019/9/27,"8,277,943",14.3,"11,340,000",17B
1727 中華化,2019/9/27,"1,463,178",27.93,"1,345,050",17Z
1730 花仙子,2019/9/27,"1,712,889",8.69,"4,736,152",17E
1731 美吾華,2019/9/27,"1,744,328",14.06,"1,761,124",17C
1732 毛寶,2019/9/27,"444,701",16.37,"428,674",17E
1733 五鼎,2019/9/27,"1,601,316",23.78,"2,709,621",17G
1734 杏輝,2019/9/27,"3,234,589",,"3,245,421",17C
1735 日勝化,2019/9/27,"1,442,638",9.86,"1,565,361",17F
1736 喬山,2019/9/27,"8,617,306",20.71,"24,532,173",17G
1737 臺鹽,2019/9/27,"6,065,867",15.72,"6,510,000",12Z
1760 寶齡富錦,2019/9/27,"1,308,788",23.22,"6,522,815",17C
1762 中化生,2019/9/27,"1,974,555",22.69,"2,497,432",17C
1773 勝一,2019/9/27,"4,673,049",11.99,"12,615,000",17Z
1776 展宇,2019/9/27,"1,105,526",15.61,"1,049,790",17F
1783 和康生,2019/9/27,"843,877",24.66,"1,743,572",17G
1786 科妍,2019/9/27,"1,321,145",34.14,"4,142,530",17G
1789 神隆,2019/9/27,"10,309,593",53.87,"18,819,588",17C
1795 美時,2019/9/27,"7,622,027",30.26,"24,092,498",17C
1802 台玻,2019/9/27,"44,222,415",,"33,878,899",18
1805 寶徠,2019/9/27,"538,920",,"728,004",25A
1806 冠軍,2019/9/27,"6,120,770",,"2,819,583",18
1808 潤隆,2019/9/27,"4,731,788",164.6,"19,609,788",25A
1809 中釉,2019/9/27,"3,688,851",,"2,088,013",18
1810 和成,2019/9/27,"5,614,781",39.05,"2,803,486",18
1817 凱撒衛,2019/9/27,"1,669,956",9.63,"2,591,820",18
1903 士紙,2019/9/27,"2,559,213",,"8,243,236",19A
1904 正隆,2019/9/27,"24,527,643",7.97,"19,782,691",19A
1905 華紙,2019/9/27,"17,727,797",97.24,"10,168,139",19B
1906 寶隆,2019/9/27,"3,534,075",12.22,"1,887,500",19A
1907 永豐餘,2019/9/27,"49,950,445",6.48,"19,343,322",19A
1909 榮成,2019/9/27,"20,807,567",256.74,"15,938,900",19A
2002 中鋼,2019/9/27,"338,494,722",17.59,"361,901,780",20A
2006 東和鋼鐵,2019/9/27,"23,975,532",13.16,"21,637,493",20A
2007 燁興,2019/9/27,"6,067,662",,"2,446,301",20A
2008 高興昌,2019/9/27,"2,383,814",,"2,480,522",20A
2009 第一銅,2019/9/27,"3,630,412",,"3,434,390",20A
2010 春源,2019/9/27,"10,594,551",31.14,"6,573,698",20A
2012 春雨,2019/9/27,"4,283,587",9.3,"5,726,703",20A
2013 中鋼構,2019/9/27,"4,188,836",37.32,"4,940,000",20A
2014 中鴻,2019/9/27,"14,856,928",13.59,"13,982,199",20A
2015 豐興,2019/9/27,"17,759,238",11.02,"29,894,189",20A
2017 官田鋼,2019/9/27,"5,092,982",,"2,263,160",20A
2020 美亞,2019/9/27,"3,099,406",8.31,"3,237,753",20A
2022 聚亨,2019/9/27,"6,289,585",,"3,012,836",20A
2023 燁輝,2019/9/27,"28,233,014",,"17,449,542",20A
2024 志聯,2019/9/27,"1,143,712",37.91,"1,179,750",20A
2025 千興,2019/9/27,"682,223",,"486,419",20A
2027 大成鋼,2019/9/27,"39,370,673",7.56,"42,874,203",20A
2028 威致,2019/9/27,"2,442,210",10.36,"3,012,855",20A
2029 盛餘,2019/9/27,"8,663,766",88.14,"6,423,600",20A
2030 彰源,2019/9/27,"3,984,280",8.63,"3,753,491",20A
2031 新光鋼,2019/9/27,"6,828,080",149.3,"8,854,580",20A
2032 新鋼,2019/9/27,"1,666,368",22.85,"1,204,709",20A
2033 佳大,2019/9/27,"957,608",,"723,825",20A
2034 允強,2019/9/27,"7,800,753",11.07,"10,666,806",20A
2038 海光,2019/9/27,"3,619,704",,"1,343,166",20A
2049 上銀,2019/9/27,"23,652,756",24.71,"83,740,849",15A
2059 川湖,2019/9/27,"10,409,041",15.26,"33,639,841",20B
2062 橋椿,2019/9/27,"5,367,709",152.14,"4,898,571",99B
2069 運錩,2019/9/27,"3,309,584",3.49,"3,252,829",20A
2101 南港,2019/9/27,"10,705,982",31.26,"37,652,120",21A
2102 泰豐,2019/9/27,"7,703,360",,"5,703,614",21A
2103 台橡,2019/9/27,"16,716,286",14.47,"19,817,016",21C
2104 國際中橡,2019/9/27,"35,046,196",9.67,"32,053,059",21C
2105 正新,2019/9/27,"78,336,236",24.61,"148,456,807",21A
2106 建大,2019/9/27,"18,943,863",19.21,"27,544,545",21A
2107 厚生,2019/9/27,"10,598,427",11.46,"6,300,000",21B
2108 南帝,2019/9/27,"8,487,435",7.13,"15,412,621",21C
2109 華豐,2019/9/27,"4,155,266",23.95,"3,805,396",21A
2114 鑫永銓,2019/9/27,"2,253,263",12.37,"5,906,053",21B
2115 六暉-KY,2019/9/27,"2,260,720",9.71,"3,416,701",15D
2201 裕隆,2019/9/27,"78,398,949",,"30,907,858",22A
2204 中華,2019/9/27,"45,315,953",16.71,"34,116,833",22A
2206 三陽工業,2019/9/27,"15,655,086",50.64,"17,925,495",22A
2207 和泰車,2019/9/27,"62,143,426",15.58,"257,523,399",22X
2208 台船,2019/9/27,"7,407,275",,"12,250,467",22B
2211 長榮鋼,2019/9/27,"14,293,724",,,20A
2227 裕日車,2019/9/27,"19,802,694",9.54,"74,850,000",22X
2228 劍麟,2019/9/27,"3,754,035",12.26,"9,472,500",15D
2231 為升,2019/9/27,"4,469,399",22.37,"30,521,019",15D
2233 宇隆,2019/9/27,"2,645,237",10.38,"4,340,736",15D
2236 百達-KY,2019/9/27,"1,367,036",5.62,"1,071,341",15D
2239 英利-KY,2019/9/27,"13,007,995",10.29,"11,352,273",15D
2241 艾姆勒,2019/9/27,"1,086,854",36.36,"3,729,920",15D
2243 宏旭-KY,2019/9/27,"908,008",,"670,787",15D
2247 汎德永業,2019/9/27,"8,312,418",17.22,"14,662,939",22X
2301 光寶科,2019/9/27,"72,791,214",10.18,"115,897,743",23C
2302 麗正,2019/9/27,"1,631,296",67.04,"1,297,156",23D
2303 聯電,2019/9/27,"205,044,294","1,957.12","157,105,861",23G
2305 全友,2019/9/27,"2,197,798",352.89,"1,266,866",23C
2308 台達電,2019/9/27,"177,595,957",14.26,"344,174,448",23D
2312 金寶,2019/9/27,"26,374,417",10.47,"15,537,267",23E
2313 華通,2019/9/27,"24,524,395",9.71,"41,415,745",23B
2314 台揚,2019/9/27,"2,680,568",,"5,472,672",23K
2316 楠梓電,2019/9/27,"7,128,622",14.02,"9,926,620",23B
2317 鴻海,2019/9/27,"1,341,099,079",5.76,"1,014,770,868",23A
2321 東訊,2019/9/27,"583,321",,"264,624",23E
2323 中環,2019/9/27,"19,535,066",56.48,"14,325,933",23C
2324 仁寶,2019/9/27,"113,712,278",8.44,"78,887,913",23A
2327 國巨,2019/9/27,"45,468,148",8.11,"105,760,086",23D
2328 廣宇,2019/9/27,"12,383,531",7.82,"12,155,214",23D
2329 華泰,2019/9/27,"6,046,986",13.05,"9,610,507",23G
2330 台積電,2019/9/27,"1,587,497,001",18.88,"7,053,063,360",23G
2331 精英,2019/9/27,"11,091,377",423.09,"7,023,265",23B
2332 友訊,2019/9/27,"9,084,878",,"7,921,751",23E
2337 旺宏,2019/9/27,"31,622,622",10.46,"57,960,410",23G
2338 光罩,2019/9/27,"2,873,246",39.5,"7,391,855",23G
2340 光磊,2019/9/27,"7,090,004",12.01,"9,503,412",23C
2342 茂矽,2019/9/27,"2,051,917",,"3,017,401",23G
2344 華邦電,2019/9/27,"61,318,148",21.16,"71,043,000",23G
2345 智邦,2019/9/27,"11,836,786",15.49,"91,228,095",23E
2347 聯強,2019/9/27,"50,903,821",7.7,"60,546,440",23T
2348 海悅,2019/9/27,"1,526,332",7.34,"3,800,640",25A
2349 錸德,2019/9/27,"13,246,999",,"11,249,215",23C
2351 順德,2019/9/27,"5,917,137",13.05,"11,274,466",23G
2352 佳世達,2019/9/27,"46,135,696",7.07,"41,597,418",23C
2353 宏碁,2019/9/27,"59,291,096",19.09,"54,733,807",23A
2354 鴻準,2019/9/27,"100,443,730",9.23,"91,517,180",23D
2355 敬鵬,2019/9/27,"15,663,045",9.9,"12,580,717",23B
2356 英業達,2019/9/27,"56,281,015",13.14,"76,771,965",23A
2357 華碩,2019/9/27,"173,699,440",6.79,"153,379,940",23A
2358 廷鑫,2019/9/27,"1,227,834",103.28,"1,518,587",20A
2359 所羅門,2019/9/27,"4,934,669",14.25,"3,669,479",23T
2360 致茂,2019/9/27,"14,357,312",29.85,"61,636,512",23H
2362 藍天,2019/9/27,"40,848,725",83.57,"21,064,046",23A
2363 矽統,2019/9/27,"6,834,790",,"4,504,524",23G
2364 倫飛,2019/9/27,"264,722",,"608,729",23A
2365 昆盈,2019/9/27,"2,978,238",23.23,"1,866,922",23C
2367 燿華,2019/9/27,"10,953,200",10.17,"21,896,037",23B
2368 金像電,2019/9/27,"6,870,699",69.93,"7,541,521",23B
2369 菱生,2019/9/27,"5,420,048",,"3,496,938",23G
2371 大同,2019/9/27,"26,662,990",,"39,772,112",15B
2373 震旦行,2019/9/27,"8,143,379",12.73,"22,321,089",23T
2374 佳能,2019/9/27,"7,081,129",,"4,743,682",23U
2375 凱美,2019/9/27,"7,375,752",5.85,"3,962,729",23D
2376 技嘉,2019/9/27,"23,669,273",16.71,"31,561,909",23B
2377 微星,2019/9/27,"29,801,883",12.89,"76,290,497",23B
2379 瑞昱,2019/9/27,"26,640,263",17.51,"116,861,850",23G
2380 虹光,2019/9/27,"1,395,461",,"701,701",23C
2382 廣達,2019/9/27,"137,382,209",11.08,"218,624,688",23A
2383 台光電,2019/9/27,"12,517,827",11.1,"40,123,354",23B
2385 群光,2019/9/27,"30,553,127",10.27,"67,133,026",23C
2387 精元,2019/9/27,"7,242,538",12.72,"6,890,025",23C
2388 威盛,2019/9/27,"4,014,586",150.06,"17,117,614",23G
2390 云辰,2019/9/27,"2,152,641",,"2,386,334",23C
2392 正崴,2019/9/27,"28,022,379",7.57,"17,828,945",23D
2393 億光,2019/9/27,"16,993,072",14.74,"12,342,869",23C
2395 研華,2019/9/27,"30,994,596",20.93,"191,078,979",23B
2397 友通,2019/9/27,"3,707,658",10.91,"9,266,790",23B
2399 映泰,2019/9/27,"2,264,112",,"1,878,955",23B
2401 凌陽,2019/9/27,"9,613,075",45.13,"8,376,715",23G
2402 毅嘉,2019/9/27,"5,904,563",15.03,"5,181,982",23B
2404 漢唐,2019/9/27,"7,817,622",8.36,"31,351,397",23H
2405 浩鑫,2019/9/27,"3,321,446",,"4,018,096",23A
2406 國碩,2019/9/27,"5,184,299",11.37,"2,824,361",23C
2408 南亞科,2019/9/27,"151,782,648",14.2,"247,399,926",23G
2409 友達,2019/9/27,"198,531,259",,"75,646,566",23C
2412 中華電,2019/9/27,"376,482,967",20.38,"861,076,506",23K
2413 環科,2019/9/27,"1,631,455",,"2,362,509",23D
2414 精技,2019/9/27,"3,059,621",10.44,"3,550,083",23T
2415 錩新,2019/9/27,"2,075,320",18.36,"1,628,000",23U
2417 圓剛,2019/9/27,"3,956,577",38.62,"2,025,366",23B
2419 仲琦,2019/9/27,"3,817,750",10.25,"4,373,633",23E
2420 新巨,2019/9/27,"3,005,920",8.16,"5,281,621",23D
2421 建準,2019/9/27,"4,056,324",12.39,"9,460,023",23D
2423 固緯,2019/9/27,"2,279,259",9.26,"3,734,960",23H
2424 隴華,2019/9/27,"278,702",,"865,500",23X
2425 承啟,2019/9/27,"1,879,619",19.34,"2,704,922",23B
2426 鼎元,2019/9/27,"3,582,084",30.96,"4,659,641",23C
2427 三商電,2019/9/27,"2,151,208",13.65,"1,953,728",23X
2428 興勤,2019/9/27,"6,305,961",7.23,"10,441,128",23D
2429 銘旺科,2019/9/27,"331,264",,"737,242",23B
2430 燦坤,2019/9/27,"4,605,545",12.15,"2,854,926",23T
2431 聯昌,2019/9/27,"1,316,785",,"1,331,124",23D
2433 互盛電,2019/9/27,"4,830,928",8.98,"7,008,056",23T
2434 統懋,2019/9/27,"228,383",,"423,612",23D
2436 偉詮電,2019/9/27,"2,851,804",21.3,"4,841,981",23G
2438 翔耀,2019/9/27,"816,994",14.9,"574,146",23C
2439 美律,2019/9/27,"12,282,559",7.64,"31,474,336",23U
2440 太空梭,2019/9/27,"1,061,548",,"1,096,242",23D
2441 超豐,2019/9/27,"16,143,923",10.5,"24,431,893",23G
2442 新美齊,2019/9/27,"4,617,386",4.33,"3,203,153",25A
2443 億麗,2019/9/27,"805,895",,"413,751",11C
2444 兆勁,2019/9/27,"947,824",,"2,280,031",23E
2449 京元電子,2019/9/27,"25,188,797",13.99,"42,612,663",23G
2450 神腦,2019/9/27,"5,751,725",14.97,"7,902,511",23T
2451 創見,2019/9/27,"19,130,422",12.72,"27,741,008",23G
2453 凌群,2019/9/27,"1,781,475",13.05,"1,615,000",23X
2454 聯發科,2019/9/27,"312,829,865",25.13,"586,663,137",23G
2455 全新,2019/9/27,"2,705,008",35.72,"20,339,550",23G
2456 奇力新,2019/9/27,"23,337,075",11.27,"20,423,652",23D
2457 飛宏,2019/9/27,"5,024,732",,"2,873,725",23D
2458 義隆,2019/9/27,"6,640,899",12.55,"26,042,516",23G
2459 敦吉,2019/9/27,"4,588,635",6.8,"3,976,545",23T
2460 建通,2019/9/27,"2,413,535",,"1,607,400",23D
2461 光群雷,2019/9/27,"3,330,204",46.86,"3,664,452",13A
2462 良得電,2019/9/27,"2,562,304",35.31,"4,295,893",23D
2464 盟立,2019/9/27,"4,046,859",7.13,"7,567,050",23H
2465 麗臺,2019/9/27,"280,551",17.96,"608,212",23B
2466 冠西電,2019/9/27,"1,726,602",248.59,"5,135,572",23C
2467 志聖,2019/9/27,"2,647,373",6.92,"3,968,853",23H
2468 華經,2019/9/27,"1,127,596",16.65,"878,011",23X
2471 資通,2019/9/27,"717,654",10.84,"937,972",23X
2472 立隆電,2019/9/27,"5,487,976",6.53,"5,427,198",23D
2474 可成,2019/9/27,"149,509,070",7.17,"181,041,885",23D
2476 鉅祥,2019/9/27,"5,176,872",7.64,"4,439,232",23D
2477 美隆電,2019/9/27,"3,471,777",11.92,"4,767,095",23U
2478 大毅,2019/9/27,"5,263,017",6.94,"6,933,708",23D
2480 敦陽科,2019/9/27,"2,692,686",9.83,"5,583,900",23X
2481 強茂,2019/9/27,"6,389,798",14.1,"9,701,528",23D
2482 連宇,2019/9/27,"768,650",17.19,"884,526",23C
2483 百容,2019/9/27,"2,437,801",27.13,"2,245,545",23D
2484 希華,2019/9/27,"2,947,672",14.21,"3,180,449",23D
2485 兆赫,2019/9/27,"6,739,700",159.04,"7,354,500",23K
2486 一詮,2019/9/27,"3,117,424",,"1,656,056",23D
2488 漢平,2019/9/27,"2,059,579",6.91,"2,683,966",23U
2489 瑞軒,2019/9/27,"12,265,457",49.46,"9,348,131",23C
2491 吉祥全,2019/9/27,"707,172",,"828,281",23C
2492 華新科,2019/9/27,"34,905,235",6.17,"84,772,100",23D
2493 揚博,2019/9/27,"2,312,796",7.21,"3,187,070",23H
2495 普安,2019/9/27,"4,229,260",16.31,"4,021,896",23C
2496 卓越,2019/9/27,"775,631",13.3,"1,143,565",99Z
2497 怡利電,2019/9/27,"1,462,382",,"3,035,289",15D
2498 宏達電,2019/9/27,"37,785,762",,"29,067,791",23K
2501 國建,2019/9/27,"22,954,262",15.54,"23,771,001",25A
2504 國產,2019/9/27,"20,826,778",38.29,"12,561,950",11B
2505 國揚,2019/9/27,"8,116,494",98.34,"9,543,173",25A
2506 太設,2019/9/27,"8,621,467",12.8,"4,431,150",25A
2509 全坤建,2019/9/27,"4,756,617",3.45,"5,103,400",25A
2511 太子,2019/9/27,"23,948,167",12.37,"17,856,586",25A
2514 龍邦,2019/9/27,"9,147,961",69.89,"8,069,280",25A
2515 中工,2019/9/27,"19,992,152",34.03,"11,879,776",25B
2516 新建,2019/9/27,"2,457,258",28.99,"1,339,566",25B
2520 冠德,2019/9/27,"13,549,408",5.15,"13,829,063",25A
2524 京城,2019/9/27,"12,951,234",7.97,"10,775,688",25A
2527 宏璟,2019/9/27,"7,835,500",5.55,"5,973,763",25A
2528 皇普,2019/9/27,"3,012,215",,"5,749,514",25A
2530 華建,2019/9/27,"3,404,528",,"4,345,570",25A
2534 宏盛,2019/9/27,"15,173,661",10.03,"14,745,522",25A
2535 達欣工,2019/9/27,"7,029,459",8.38,"6,131,465",25B
2536 宏普,2019/9/27,"11,770,098",10.83,"6,839,204",25A
2537 聯上發,2019/9/27,"4,023,554",,"2,485,606",25A
2538 基泰,2019/9/27,"7,430,973",84.38,"5,173,686",25A
2539 櫻花建,2019/9/27,"6,203,572",14.79,"13,399,855",25A
2540 愛山林,2019/9/27,"4,262,964",27.41,"3,342,480",25A
2542 興富發,2019/9/27,"34,732,168",12.29,"58,214,737",25A
2543 皇昌,2019/9/27,"2,104,629",,"1,814,873",25B
2545 皇翔,2019/9/27,"9,900,256",,"10,045,047",25A
2546 根基,2019/9/27,"2,646,926",6.51,"3,721,829",25B
2547 日勝生,2019/9/27,"12,201,584",15.28,"10,719,607",25A
2548 華固,2019/9/27,"16,771,210",5.47,"22,144,960",25A
2597 潤弘,2019/9/27,"4,929,475",9.73,"7,560,000",25B
2601 益航,2019/9/27,"13,303,759",11.72,"7,791,405",26A
2603 長榮,2019/9/27,"70,867,532",23.77,"58,668,649",26A
2605 新興,2019/9/27,"17,017,190",,"9,394,916",26A
2606 裕民,2019/9/27,"27,303,380",17.35,"28,351,595",26A
2607 榮運,2019/9/27,"22,945,068",14.19,"14,619,832",26C
2608 嘉里大榮,2019/9/27,"9,674,482",10.73,"16,998,800",26C
2609 陽明,2019/9/27,"16,678,669",,"20,290,413",26A
2610 華航,2019/9/27,"60,075,205",37.43,"49,222,535",26D
